age,education,occupation,city,prior_recycling,infrastructure,area_type,EC1,EC2,EC3,EC4,EC5,AW1,AW2,AW3,AW4,AW5,FI1,FI2,FI3,FI4,FI5,PC1,PC2,PC3,PC4,PC5,ATT1,ATT2,ATT3,ATT4,ATT5,PBC1,PBC2,PBC3,PBC4,PBC5,RI1,RI2,RI3,RI4,RI5,age_num,age_split,edu_num,prior_recycling_num,EC_mean,AW_mean,FI_mean,PC_mean,ATT_mean,PBC_mean,RI_mean
35 - 44,Postgraduate,Homemaker,Pune,Sometimes (about once a month),"Yes, regularly",Urban metro city,3,3,3,4,3,3,4,3,4,3,3,5,4,4,4,3,3,3,4,3,4,4,4,4,3,3,3,3,4,4,3,4,4,4,4,39,Older,4,3,3.2,3.4,4,3.2,3.8,3.4,3.8
25 - 34,Undergraduate (completed),Homemaker,Mumbai,Sometimes (about once a month),"Yes, but inconsistently",Urban metro city,4,3,3,3,4,2,3,2,2,2,4,5,4,4,4,2,2,3,2,3,4,3,3,4,4,4,4,3,4,3,4,4,4,4,4,29,Older,3,3,3.4,2.2,4.2,2.4,3.6,3.6,4
25 - 34,Doctoral,Employed (private sector),Bengaluru (Marathahalli),Rarely (a few times a year),No / I am unsure,Urban metro city,4,4,4,4,4,3,4,3,3,3,4,4,4,3,4,3,3,3,2,3,4,4,3,3,3,3,3,4,3,4,2,3,2,4,2,29,Older,5,2,4,3.2,3.8,2.8,3.4,3.4,2.6
25 - 34,Postgraduate,Unemployed,Agra,Never,No / I am unsure,Semi-urban/town,2,2,2,2,2,2,2,2,3,3,3,3,3,4,3,3,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,3,3,3,2,29,Older,4,1,2,2.4,3.2,2.4,2,1.8,2.6
Above 60,Undergraduate (completed),Self-employed,Coimbatore,Sometimes (about once a month),"Yes, but inconsistently",Urban tier-2 city,1,1,1,1,1,2,2,2,1,2,3,3,3,3,2,2,2,2,2,2,2,3,3,2,3,2,1,2,2,2,1,2,2,2,2,65,Older,3,3,1,1.8,2.8,2,2.6,1.8,1.8
45 - 60,High school/10+2,Unemployed,Varanasi,Often (weekly),No / I am unsure,Semi-urban/town,3,3,3,3,3,3,3,4,3,3,5,4,5,5,5,2,2,2,2,2,4,3,4,4,4,3,3,3,3,3,4,5,4,4,4,52,Older,1,4,3,3.2,4.8,2,3.8,3,4.2
25 - 34,Postgraduate,Employed (private sector),Bengaluru,Rarely (a few times a year),"Yes, regularly",Urban metro city,5,5,4,5,5,3,3,3,3,3,4,4,4,3,3,3,3,3,2,3,5,3,4,4,4,3,3,3,3,4,3,3,3,4,3,29,Older,4,2,4.8,3,3.6,2.8,4,3.2,3.2
35 - 44,High school/10+2,Employed (government),Amritsar,Often (weekly),"Yes, but inconsistently",Urban tier-2 city,3,3,3,3,3,2,2,2,2,2,4,3,4,3,4,2,1,2,3,3,3,3,3,3,3,3,3,2,2,2,3,4,3,3,3,39,Older,1,4,3,2,3.6,2.2,3,2.4,3.2
35 - 44,Postgraduate,Employed (private sector),Bengaluru (Indiranagar),Often (weekly),"Yes, regularly",Urban metro city,4,4,4,3,4,3,3,3,3,3,5,4,5,5,5,4,5,4,4,4,4,3,4,4,3,3,3,3,3,4,3,4,3,3,3,39,Older,4,4,3.8,3,4.8,4.2,3.6,3.2,3.2
35 - 44,Postgraduate,Homemaker,Bengaluru (HSR Layout),Sometimes (about once a month),"Yes, regularly",Urban metro city,3,4,4,4,4,3,3,3,3,2,3,4,4,4,3,3,3,2,3,3,4,4,3,3,3,3,3,2,3,2,3,3,4,4,4,39,Older,4,3,3.8,2.8,3.6,2.8,3.4,2.6,3.6
45 - 60,Postgraduate,Unemployed,Bengaluru (HSR Layout),Always (daily),No / I am unsure,Urban metro city,4,3,4,4,4,3,3,4,4,4,5,5,5,5,5,2,3,2,3,2,3,4,3,4,3,3,3,3,3,3,4,4,3,4,4,52,Older,4,5,3.8,3.6,5,2.4,3.4,3,3.8
25 - 34,Doctoral,Employed (government),Hyderabad,Often (weekly),"Yes, but inconsistently",Urban metro city,4,4,4,4,4,5,4,4,4,4,3,4,3,4,3,2,2,3,2,2,4,4,4,4,4,5,4,5,5,4,5,5,5,5,4,29,Older,5,4,4,4.2,3.4,2.2,4,4.6,4.8
